Bird ID.,DM%,Ash%,N%,CP%,GE  (kcal/kg)
R3B31,89.01499313,11.02536572,3.15,19.69,15.1416122
R3B47,88.17422434,14.23286868,2.648,16.55,14.38444071
R3B5,89.01672036,11.55724051,3.069,19.18,15.68627451
R3B60,87.72790633,10.74107029,2.749,17.18,15.26410926
R3B65,89.28590532,15.60627846,2.598,16.24,14.74967523
R3B66,89.39689157,15.36317097,2.806,17.54,15.49497848
R4M12,88.94404121,11.67210698,2.775,17.34,15.06686478
R6M1,88.77561072,18.03606103,2.69,16.81,14.71389646
R2B25,88.55952046,22.5953149,2.622,16.39,13.58843025
R2B42,88.39592141,14.25838397,2.608,16.3,14.17681418
R2B62,89.16621204,16.37179422,2.867,17.92,14.93381833
R2B78,91.00547196,29.30545591,2.242,14.02,12.11580408
R3B10,88.8693688,18.40817095,2.594,16.21,14.030689
R3B13,89.76357644,24.12284902,2.397,14.98,13.49804158
R4M14,93.09582864,27.10714978,2.366,14.79,12.71169556
R4M33,89.17791227,16.06390153,2.487,15.55,14.4722416
R4M40,87.95923963,17.19569848,2.466,15.41,14.60044062
R4M51,88.04203406,14.14460145,2.576,16.1,14.63584736
R4M54,86.93358387,18.00232771,2.443,15.27,13.64491534
R4M75,88.86921568,14.78111033,2.562,16.01,14.94435612
R4M9,88.92732219,18.53065863,2.332,14.58,14.50327786
R5B23,90.13340857,23.99499173,2.841,17.76,13.56287425
R5B36,89.4524286,21.1055072,2.573,16.08,14.0654531
R5B57,89.43867285,21.78963317,2.6,16.25,13.68684342
R5M52,89.23466802,13.83051233,2.989,18.68,15.05633662
R5M53,90.79113445,27.50375355,2.352,14.7,12.15491559
R5M62,89.73370595,19.69930195,2.549,15.93,13.72238185
R5M64,89.1629135,21.21507699,2.17,13.57,13.18472611
R6M68,88.20920257,13.26739239,2.223,13.89,14.54454953
R6M22,88.60022977,13.98335216,2.624,16.4,14.98793727
R6M23,89.58630528,23.63156847,2.431,15.19,13.36893008
R6M29,88.75450426,15.05808578,2.929,18.31,14.87047657
R6M33,89.64980814,17.49122739,2.51,15.69,14.3182719
R6M46,86.70594537,16.53694094,2.308,14.43,13.01499057
R6M75,89.74117203,18.15602837,2.612,16.32,14.45951336
,89.09415999,17.89671291,2.593085714,16.20742857,14.21018354
,,,,,
R3B28,88.61399798,13.71562013,2.866,17.91,14.95188015
R3B3,87.16440631,9.137096134,2.845,17.78,15.27987897
R3B43,88.24398605,12.56530476,3.06,19.12,15.45509464
R3B52,89.88217846,20.77642314,2.226,13.91,14.15056762
R3B56,88.7962963,13.54481093,2.654,16.59,14.70326849
R4M11,88.45952754,11.77798076,2.867,17.92,15.30846915
R4M18,88.26728827,13.27758216,2.964,18.53,15.03471873
R2B27,89.03242816,26.20669233,2.663,16.64,12.99435028
R5M29,85.23908524,29.98159227,2.36,14.75,12.90127196
R2B45,90.62072847,29.09365157,2.509,15.68,12.33637445
R2B53,88.96282698,15.22163676,2.963,18.52,14.93763611
R2B70,87.89115036,16.25095639,2.519,15.75,14.1122152
R2B80,86.97012802,19.85606804,2.555,15.97,13.9693183
R3B21,90.03423012,29.16791729,2.389,14.93,13.12117257
R4M53,88.55887115,26.58551875,2.426,15.16,12.77039095
R4M66,88.48445497,15.15086114,2.454,15.33,14.42622951
R5B21,90.06884299,27.72326052,2.158,13.49,12.85140562
R5B35,86.50478949,24.01627524,2.308,14.42,12.42086222
R5B76,88.17135355,22.63393012,2.255,14.09,13.13040883
R5M14,89.33466235,20.76429568,2.783,17.39,14.18761991
R5M16,88.35635077,13.62848893,2.858,17.86,14.71232331
R5M22,89.84069064,32.67620982,1.855,11.59,12.63559663
R5M44,90.45565348,28.67606412,2.462,15.38,12.48506571
R5M63,89.09098291,15.74917973,2.714,16.96,15.03398641
R5M67,90.28272749,26.9887218,2.393,14.96,13.04435484
R5M69,88.4797564,11.18475559,2.627,16.42,14.80778832
R5M72,90.84105488,33.50333464,1.946,12.16,12.60817066
R6M13,89.32810709,17.76710684,2.538,15.86,14.05582597
R6M45,85.33839943,15.93944791,2.92,18.25,14.10994245
R6M54,88.59597735,14.05113511,2.881,18.01,15.08775429
R6M63,88.99985933,20.47837311,2.412,15.07,14.27581428
R6M66,89.06090114,15.35154368,2.608,16.3,14.97589393
R6M74,89.99757458,28.49134911,2.355,14.72,12.50869349
R6M78,89.85980411,24.16114554,2.286,14.29,12.64620614
R6M80,89.70810613,21.55590744,3.233,20.2,14.18382722
,88.78677653,20.5042925,2.568914286,16.05457143,13.89183935
