Bird ID.,Total feed intake (g),ADI (g),Total egg wt (g),FCR
R3B31,823,117.5714286,449,1.832962138
R3B47,791,113,463,1.708423326
R3B5,913,130.4285714,488,1.870901639
R3B60,818,116.8571429,454,1.801762115
R3B65,875,125,481,1.819126819
R3B66,882,126,466,1.892703863
R4M12,862,123.1428571,455,1.894505495
R6M1,871.5,124.5,471,1.850318471
R2B25,871.5,126.0714286,466,1.893776824
R2B42,882.5,127.7142857,471,1.898089172
R2B62,856,122.2857143,223,1.919282511
R2B78,872.5,127,492.5,1.805076142
R3B10,889,122.5714286,442,1.941176471
R3B13,858,124.5714286,467.5,1.865240642
R4M14,724,103.4285714,488,1.483606557
R4M33,892,127.4285714,529,1.686200378
R4M40,842,120.2857143,452,1.862831858
R4M51,837,119.5714286,377,1.902272727
R4M54,799,114.1428571,451,1.771618625
R4M75,766,109.4285714,394,1.944162437
R4M9,704,100.5714286,384,1.833333333
R5B23,800,114.2857143,432,1.851851852
R5B36,975,139.2857143,506,1.92687747
R5B57,875,125,493,1.77484787
R5M52,806,115.1428571,455,1.771428571
R5M53,808,115.4285714,462,1.748917749
R5M62,837,119.5714286,468,1.788461538
R5M64,843,120.4285714,444,1.898648649
R6M68,789,112.7142857,458,1.722707424
R6M22,861,123,456,1.888157895
R6M29,858,122.5714286,463,1.853131749
R6M33,795,113.5714286,442,1.798642534
R6M46,837,119.5714286,440,1.906605923
R6M75,925,132.1428571,487,1.899383984
R3B28,958,136.8571429,467,2.051391863
R3B3,905,129.2857143,403,2.245657568
R3B3,905,129.2857143,403,2.245657568
R3B43,1145,163.5714286,518,2.21042471
R3B52,839,119.8571429,446,1.881165919
R3B56,996,142.2857143,404,2.465346535
R4M11,1033,147.5714286,454,2.275330396
R4M18,1041,148.7142857,477,2.182389937
R2B27,888,126.8571429,455,1.951648352
R5M29,857.5,122.5,403,2.127791563
R2B45,881.5,125.9285714,371,2.376010782
R2B53,874,124.8571429,431.5,2.025492468
R2B70,859.5,122.7857143,415,2.071084337
R2B80,851.5,121.6428571,407.5,2.089570552
R3B21,920,131.4285714,501.5,1.83449651
R4M66,1043,149,478,2.182008368
R5B21,892,127.4285714,439,2.031890661
R5B76,1056,150.8571429,515,2.050485437
R5M14,827,118.1428571,395,2.093670886
R5M16,911,130.1428571,427,2.133489461
R5M22,972,138.8571429,432,2.25
R5M44,1000,142.8571429,474,2.109704641
R5M63,985,140.7142857,460,2.141304348
R5M67,897,128.1428571,410,2.187804878
R5M69,941,134.4285714,467,2.014989293
R5M72,900,128.5714286,447,2.013422819
R6M13,827,118.1428571,388,2.131443299
R6M45,1106,158,484,2.285123967
R6M54,975,139.2857143,446,2.186098655
R6M63,978,139.7142857,450,2.173333333
R6M66,1101,157.2857143,442,2.490950226
R6M74,1042,148.8571429,481,2.166320166
R6M78,967,138.1428571,455,2.125274725
R6M80,1006,143.7142857,426,2.361502347
