Bird ID.,No.  of feeding- bout/h,Time spent for feeding /h,No.  of Still/h,No.  of Rest/h,No  of Head flicks/h,No.  of drinking/h,No. of preening/h,No.  of feeder pecking/h,No. of cage pecking,No.  of Walking/h
R3B31,24,18,42,1,36,12,15,12,22,12
R3B47,84,42,72,1,18,6,16,7,23,12
R3B5,24,18,12,6,54,6,14,12,18,6
R3B60,30,18,24,18,2,6,20,6,21,12
R3B65,36,24,12,1,6,6,18,12,19,6
R3B66,18,30,1,1,6,6,14,5,21,6
R4M12,30,18,6,6,12,1,22,12,18,13
R6M1,66,12,1,24,36,12,17,48,12,18
R2B25,12,18,1,6,6,6,21,7,16,6
R2B42,24,21,30,6,6,6,21,8,16,24
R2B62,30,6,12,1,60,6,20,60,12,6
R2B78,30,9,12,6,60,6,26,12,22,14
R3B10,30,30,6,6,12,2,18,8,31,24
R3B13,18,30,1,1,48,1,24,6,16,12
R4M14,12,18,6,1,36,3,12,18,17,18
R4M33,6,12,6,6,12,1,16,6,25,12
R4M40,6,12,6,1,18,3,17,6,16,6
R4M51,12,18,6,1,6,1,15,9,21,6
R4M54,24,30,1,1,18,2,15,10,20,6
R4M75,30,30,6,6,18,1,17,6,30,12
R4M9,6,36,12,1,12,1,18,13,16,6
R5B23,18,36,12,2,12,1,19,12,20,12
R5B36,6,12,12,3,36,12,19,6,18,13
R5B57,6,6,12,3,12,6,18,6,20,6
R5M52,12,48,1,6,6,6,15,12,27,12
R5M53,12,30,6,6,12,6,19,11,17,12
R5M62,6,36,6,3,24,6,19,10,16,12
R5M64,6,6,12,6,36,6,21,18,23,6
R6M68,66,12,1,24,36,12,22,48,18,18
R6M22,12,18,1,6,6,3,24,11,17,6
R6M23,24,18,30,6,6,1,19,16,18,24
R6M29,30,6,12,2,54,2,17,60,24,6
R6M33,30,12,12,6,48,3,18,11,32,18
R6M46,30,30,6,6,12,4,18,22,18,24
R6M75,18,30,1,2,48,3,24,6,28,12
R3B28,78,30,42,1,18,1,11,9,12,17
R3B3,42,36,18,1,48,6,12,30,30,12
R3B43,42,30,6,12,24,1,12,6,12,12
R3B52,54,48,1,1,6,1,19,17,12,18
R3B56,48,30,1,1,6,1,12,12,24,18
R4M11,36,42,1,1,30,1,11,12,24,16
R4M18,24,18,30,1,12,6,12,18,18,12
R2B27,24,54,1,1,6,6,10,17,12,11
R5M29,12,18,1,1,36,6,12,14,12,12
R2B45,12,18,24,1,72,6,18,12,12,18
R2B53,24,30,6,6,60,6,19,6,16,30
R2B70,36,36,6,6,60,1,16,6,12,12
R2B80,6,0,6,6,6,1,12,17,30,24
R3B21,30,39,6,1,18,6,14,12,12,36
R4M53,12,48,12,1,6,1,15,12,12,18
R4M66,18,48,12,1,6,1,20,9,12,12
R5B21,24,54,1,1,6,1,15,6,16,12
R5B35,24,9,12,1,42,1,13,8,16,18
R5B76,30,18,6,1,30,6,15,9,12,42
R5M14,12,36,6,1,24,1,10,6,13,18
R5M16,24,30,6,1,54,1,16,6,21,30
R5M22,54,36,1,1,12,1,19,42,48,12
R5M44,12,12,6,1,18,1,16,12,16,30
R5M63,6,42,12,1,24,1,10,6,13,26
R5M67,6,54,6,6,12,2,12,12,12,12
R5M69,12,30,6,1,24,1,15,12,18,16
R5M72,6,36,6,1,6,1,24,9,12,18
R6M13,6,12,12,6,24,1,11,6,18,12
R6M45,24,54,1,1,6,1,12,8,18,16
R6M54,12,18,1,1,36,2,12,9,12,12
R6M63,12,18,24,1,72,1,19,13,12,42
R6M66,24,30,6,6,54,1,12,6,24,30
R6M74,36,36,6,6,48,2,21,13,12,12
R6M78,6,36,6,6,0,1,12,19,18,24
R6M80,30,39,6,1,18,6,11,12,12,36
