Bird ID.,Total feed intake (g),ADI (g),Total egg wt (g),FCR,No.  of feeding- bout/h,Time spent for feeding /h,No.  of Still/h,No.  of Rest/h,No  of Head flicks/h,No.  of drinking/h,No. of preening/h,No.  of feeder pecking/h,No. of cage pecking,No.  of Walking/h,DM%,Ash%,N%,CP%,GE  (kcal/kg),Drinking/Feeding Ratio,Preening/Feeding Ratio,Feed Efficiency Score,Feeding Intensity,Activity Ratio,Combined_Feed_Intake
R3B31,823.0,117.5714286,449.0,1.832962138,24,18,42,1,36,12,15,12,22,12,89.01499313,11.02536572,3.15,19.69,15.1416122,0.6666666666666666,0.8333333333333334,1.8329621380846326,18.0,2.8333333333333335,940.5714286
R3B47,791.0,113.0,463.0,1.708423326,84,42,72,1,18,6,16,7,23,12,88.17422434,14.23286868,2.648,16.55,14.38444071,0.14285714285714285,0.38095238095238093,1.7084233261339092,42.0,0.9761904761904762,904.0
R3B5,913.0,130.4285714,488.0,1.870901639,24,18,12,6,54,6,14,12,18,6,89.01672036,11.55724051,3.069,19.18,15.68627451,0.3333333333333333,0.7777777777777778,1.8709016393442623,3.0,2.111111111111111,1043.4285714
R3B60,818.0,116.8571429,454.0,1.801762115,30,18,24,18,2,6,20,6,21,12,87.72790633,10.74107029,2.749,17.18,15.26410926,0.3333333333333333,1.1111111111111112,1.801762114537445,1.0,2.4444444444444446,934.8571429
R3B65,875.0,125.0,481.0,1.819126819,36,24,12,1,6,6,18,12,19,6,89.28590532,15.60627846,2.598,16.24,14.74967523,0.25,0.75,1.819126819126819,24.0,1.75,1000.0
R3B66,882.0,126.0,466.0,1.892703863,18,30,1,1,6,6,14,5,21,6,89.39689157,15.36317097,2.806,17.54,15.49497848,0.2,0.4666666666666667,1.8927038626609443,30.0,1.0333333333333334,1008.0
R4M12,862.0,123.1428571,455.0,1.894505495,30,18,6,6,12,1,22,12,18,13,88.94404121,11.67210698,2.775,17.34,15.06686478,0.05555555555555555,1.2222222222222223,1.8945054945054944,3.0,2.6666666666666665,985.1428571
R6M1,871.5,124.5,471.0,1.850318471,66,12,1,24,36,12,17,48,12,18,88.77561072,18.03606103,2.69,16.81,14.71389646,1.0,1.4166666666666667,1.8503184713375795,0.5,7.916666666666667,996.0
R2B25,871.5,126.0714286,466.0,1.893776824,12,18,1,6,6,6,21,7,16,6,88.55952046,22.5953149,2.622,16.39,13.58843025,0.3333333333333333,1.1666666666666667,1.8701716738197425,3.0,2.2222222222222223,997.5714286
R2B42,882.5,127.7142857,471.0,1.898089172,24,21,30,6,6,6,21,8,16,24,88.39592141,14.25838397,2.608,16.3,14.17681418,0.2857142857142857,1.0,1.8736730360934182,3.5,2.8095238095238093,1010.2142857
R2B62,856.0,122.2857143,223.0,1.919282511,30,6,12,1,60,6,20,60,12,6,89.16621204,16.37179422,2.867,17.92,14.93381833,1.0,3.3333333333333335,3.8385650224215246,6.0,15.333333333333334,978.2857143
R2B78,872.5,127.0,492.5,1.805076142,30,9,12,6,60,6,26,12,22,14,91.00547196,29.30545591,2.242,14.02,12.11580408,0.6666666666666666,2.888888888888889,1.7715736040609138,1.5,6.444444444444445,999.5
R3B10,889.0,122.5714286,442.0,1.941176471,30,30,6,6,12,2,18,8,31,24,88.8693688,18.40817095,2.594,16.21,14.030689,0.06666666666666667,0.6,2.01131221719457,5.0,1.7333333333333334,1011.5714286
R3B13,858.0,124.5714286,467.5,1.865240642,18,30,1,1,48,1,24,6,16,12,89.76357644,24.12284902,2.397,14.98,13.49804158,0.03333333333333333,0.8,1.8352941176470587,30.0,1.4333333333333333,982.5714286
R4M14,724.0,103.4285714,488.0,1.483606557,12,18,6,1,36,3,12,18,17,18,93.09582864,27.10714978,2.366,14.79,12.71169556,0.16666666666666666,0.6666666666666666,1.4836065573770492,18.0,2.8333333333333335,827.4285714
R4M33,892.0,127.4285714,529.0,1.686200378,6,12,6,6,12,1,16,6,25,12,89.17791227,16.06390153,2.487,15.55,14.4722416,0.08333333333333333,1.3333333333333333,1.6862003780718335,2.0,2.9166666666666665,1019.4285714
R4M40,842.0,120.2857143,452.0,1.862831858,6,12,6,1,18,3,17,6,16,6,87.95923963,17.19569848,2.466,15.41,14.60044062,0.25,1.4166666666666667,1.8628318584070795,12.0,2.6666666666666665,962.2857143
R4M51,837.0,119.5714286,377.0,1.902272727,12,18,6,1,6,1,15,9,21,6,88.04203406,14.14460145,2.576,16.1,14.63584736,0.05555555555555555,0.8333333333333334,2.220159151193634,18.0,1.7222222222222223,956.5714286
R4M54,799.0,114.1428571,451.0,1.771618625,24,30,1,1,18,2,15,10,20,6,86.93358387,18.00232771,2.443,15.27,13.64491534,0.06666666666666667,0.5,1.771618625277162,30.0,1.1,913.1428571
R4M75,766.0,109.4285714,394.0,1.944162437,30,30,6,6,18,1,17,6,30,12,88.86921568,14.78111033,2.562,16.01,14.94435612,0.03333333333333333,0.5666666666666667,1.9441624365482233,5.0,1.2,875.4285714
R4M9,704.0,100.5714286,384.0,1.833333333,6,36,12,1,12,1,18,13,16,6,88.92732219,18.53065863,2.332,14.58,14.50327786,0.027777777777777776,0.5,1.8333333333333333,36.0,1.0555555555555556,804.5714286
R5B23,800.0,114.2857143,432.0,1.851851852,18,36,12,2,12,1,19,12,20,12,90.13340857,23.99499173,2.841,17.76,13.56287425,0.027777777777777776,0.5277777777777778,1.8518518518518519,18.0,1.2222222222222223,914.2857143
R5B36,975.0,139.2857143,506.0,1.92687747,6,12,12,3,36,12,19,6,18,13,89.4524286,21.1055072,2.573,16.08,14.0654531,1.0,1.5833333333333333,1.9268774703557312,4.0,4.166666666666667,1114.2857143
R5B57,875.0,125.0,493.0,1.77484787,6,6,12,3,12,6,18,6,20,6,89.43867285,21.78963317,2.6,16.25,13.68684342,1.0,3.0,1.7748478701825559,2.0,6.0,1000.0
R5M52,806.0,115.1428571,455.0,1.771428571,12,48,1,6,6,6,15,12,27,12,89.23466802,13.83051233,2.989,18.68,15.05633662,0.125,0.3125,1.7714285714285714,8.0,0.9375,921.1428571
R5M53,808.0,115.4285714,462.0,1.748917749,12,30,6,6,12,6,19,11,17,12,90.79113445,27.50375355,2.352,14.7,12.15491559,0.2,0.6333333333333333,1.748917748917749,5.0,1.6,923.4285714
R5M62,837.0,119.5714286,468.0,1.788461538,6,36,6,3,24,6,19,10,16,12,89.73370595,19.69930195,2.549,15.93,13.72238185,0.16666666666666666,0.5277777777777778,1.7884615384615385,12.0,1.3055555555555556,956.5714286
R5M64,843.0,120.4285714,444.0,1.898648649,6,6,12,6,36,6,21,18,23,6,89.1629135,21.21507699,2.17,13.57,13.18472611,1.0,3.5,1.8986486486486487,1.0,8.5,963.4285714
R6M68,789.0,112.7142857,458.0,1.722707424,66,12,1,24,36,12,22,48,18,18,88.20920257,13.26739239,2.223,13.89,14.54454953,1.0,1.8333333333333333,1.722707423580786,0.5,8.333333333333334,901.7142857
R6M22,861.0,123.0,456.0,1.888157895,12,18,1,6,6,3,24,11,17,6,88.60022977,13.98335216,2.624,16.4,14.98793727,0.16666666666666666,1.3333333333333333,1.888157894736842,3.0,2.4444444444444446,984.0
R6M29,858.0,122.5714286,463.0,1.853131749,30,6,12,2,54,2,17,60,24,6,88.75450426,15.05808578,2.929,18.31,14.87047657,0.3333333333333333,2.8333333333333335,1.8531317494600432,3.0,14.166666666666666,980.5714286
R6M33,795.0,113.5714286,442.0,1.798642534,30,12,12,6,48,3,18,11,32,18,89.64980814,17.49122739,2.51,15.69,14.3182719,0.25,1.5,1.7986425339366516,2.0,4.166666666666667,908.5714286
R6M46,837.0,119.5714286,440.0,1.906605923,30,30,6,6,12,4,18,22,18,24,86.70594537,16.53694094,2.308,14.43,13.01499057,0.13333333333333333,0.6,1.9022727272727273,5.0,2.2666666666666666,956.5714286
R6M75,925.0,132.1428571,487.0,1.899383984,18,30,1,2,48,3,24,6,28,12,89.74117203,18.15602837,2.612,16.32,14.45951336,0.1,0.8,1.8993839835728952,15.0,1.5,1057.1428571
R3B28,958.0,136.8571429,467.0,2.051391863,78,30,42,1,18,1,11,9,12,17,88.61399798,13.71562013,2.866,17.91,14.95188015,0.03333333333333333,0.36666666666666664,2.051391862955032,30.0,1.2666666666666666,1094.8571429
R3B3,905.0,129.2857143,403.0,2.245657568,42,36,18,1,48,6,12,30,30,12,87.16440631,9.137096134,2.845,17.78,15.27987897,0.16666666666666666,0.3333333333333333,2.2456575682382134,36.0,1.6666666666666667,1034.2857143
R3B3,905.0,129.2857143,403.0,2.245657568,42,36,18,1,48,6,12,30,30,12,87.16440631,9.137096134,2.845,17.78,15.27987897,0.16666666666666666,0.3333333333333333,2.2456575682382134,36.0,1.6666666666666667,1034.2857143
R3B43,1145.0,163.5714286,518.0,2.21042471,42,30,6,12,24,1,12,6,12,12,88.24398605,12.56530476,3.06,19.12,15.45509464,0.03333333333333333,0.4,2.2104247104247103,2.5,1.0333333333333334,1308.5714286
R3B52,839.0,119.8571429,446.0,1.881165919,54,48,1,1,6,1,19,17,12,18,89.88217846,20.77642314,2.226,13.91,14.15056762,0.020833333333333332,0.3958333333333333,1.8811659192825112,48.0,1.1458333333333333,958.8571429
R3B56,996.0,142.2857143,404.0,2.465346535,48,30,1,1,6,1,12,12,24,18,88.7962963,13.54481093,2.654,16.59,14.70326849,0.03333333333333333,0.4,2.4653465346534653,30.0,1.4333333333333333,1138.2857143
R4M11,1033.0,147.5714286,454.0,2.275330396,36,42,1,1,30,1,11,12,24,16,88.45952754,11.77798076,2.867,17.92,15.30846915,0.023809523809523808,0.2619047619047619,2.2753303964757707,42.0,0.9523809523809523,1180.5714286
R4M18,1041.0,148.7142857,477.0,2.182389937,24,18,30,1,12,6,12,18,18,12,88.26728827,13.27758216,2.964,18.53,15.03471873,0.3333333333333333,0.6666666666666666,2.1823899371069184,18.0,2.6666666666666665,1189.7142857
R2B27,888.0,126.8571429,455.0,1.951648352,24,54,1,1,6,6,10,17,12,11,89.03242816,26.20669233,2.663,16.64,12.99435028,0.1111111111111111,0.18518518518518517,1.9516483516483516,54.0,0.8148148148148148,1014.8571429
